Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
FBtr0070493	95	21	20	0	0	0	59	31	29	0	0	0	19.76	40	0	0.003	-8.313	2.66299274545681e-05	0.00475949430688007	1.1664	1.3369
FBtr0307374	83	19	22	0	0	0	51	28	32	0	0	0	18.5	37	0	0.003	-8.218	2.79492132244454e-05	0.0049391598381357	1.1444	1.3337
FBtr0089348	2882	973	837	536	140	186	1787	1437	1199	359	204	223	868.16	1474	262	0.178	-2.489	3.56242058464295e-05	0.00622552788391825	0.2325	0.3252
FBtr0071835	507	264	223	38	19	23	314	390	319	25	28	28	184.06	341	27	0.079	-3.658	4.03492722514154e-05	0.00689797123880719	0.4523	0.6763
FBtr0111027	78	25	96	0	1	0	48	37	137	0	1	0	37.37	74	0	0.007	-7.185	4.47071839443718e-05	0.00740162725344295	1.1184	1.3148
FBtr0306240	27	14	70	0	0	0	17	21	100	0	0	0	22.94	46	0	0.003	-8.52	4.46836793739181e-05	0.00740162725344295	1.3306	1.341
FBtr0273370	5126	3129	2739	560	557	112	3178	4621	3923	375	813	134	2173.96	3907	441	0.113	-3.149	4.87218704917913e-05	0.00781936305198871	0.3664	0.3761
FBtr0333377	26	28	28	0	0	0	16	41	40	0	0	0	16.26	32	0	0.004	-8.024	4.82357544494191e-05	0.00781936305198871	1.1781	1.3247
FBtr0343268	22	20	45	0	0	0	14	30	64	0	0	0	17.94	36	0	0.003	-8.165	5.13052223766235e-05	0.00815079330848015	1.2386	1.331
FBtr0089951	578	192	18	8	4	0	358	284	26	5	6	0	113.14	223	4	0.017	-5.842	6.51822403161203e-05	0.00975464169494176	0.9794	0.9065
FBtr0334849	49	18	13	0	0	0	30	27	19	0	0	0	12.6	25	0	0.005	-7.665	6.57421172217591e-05	0.00975464169494176	1.1121	1.3066
FBtr0301872	33	31	12	0	0	0	20	46	17	0	0	0	13.9	28	0	0.004	-7.8	6.81508486778601e-05	0.010017537831826	1.1674	1.3134
FBtr0290077	1151	707	616	152	114	96	714	1044	882	102	166	115	503.88	880	128	0.145	-2.784	6.88656362501947e-05	0.0100288771013246	0.3052	0.3699
FBtr0072956	10999	5560	4658	882	710	971	6820	8210	6671	591	1036	1166	4082.26	7234	931	0.129	-2.958	9.13910356435733e-05	0.0128339125768046	0.3548	0.4518
FBtr0303384	2030	788	335	316	34	39	1259	1164	480	212	50	47	535.01	968	103	0.107	-3.227	9.82272539629162e-05	0.0134340717419891	0.414	0.3608
FBtr0072393	1239	627	684	186	115	135	768	926	980	125	168	162	521.36	891	152	0.17	-2.557	0.000132735938135264	0.0176921257202664	0.2846	0.3646
FBtr0339189	481	78	249	4	0	17	298	115	357	3	0	20	132.19	257	8	0.03	-5.044	0.00019306912766622	0.0253049269994526	0.9127	0.8305
FBtr0112532	93	46	72	0	2	1	58	68	103	0	3	1	38.8	76	1	0.018	-5.828	0.000198367403024526	0.025365223697315	1.051	1.3091
FBtr0112878	1379	231	234	102	35	5	855	341	335	68	51	6	276.1	510	42	0.082	-3.602	0.000197971386013953	0.025365223697315	0.5432	0.5189
FBtr0344277	1014	612	647	214	70	131	629	904	927	143	102	157	476.96	820	134	0.164	-2.608	0.000195278220863923	0.025365223697315	0.3104	0.3791
FBtr0070985	1132	494	422	144	83	95	702	729	604	96	121	114	394.55	678	110	0.163	-2.618	0.000308789234318445	0.0391664280432299	0.3326	0.4179
FBtr0307289	1126	611	471	0	39	0	698	902	675	0	57	0	388.65	758	19	0.025	-5.335	0.000316534154048783	0.039827593399034	1.0801	0.4214
FBtr0302694	2556	1090	1017	380	337	323	1585	1610	1457	254	492	388	964.15	1551	378	0.244	-2.037	0.000381045065906665	0.0471895810754333	0.2181	0.3248
