Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0261596	46352	12878	17184	18532	7650	8921	23346	20126	24485	9450	10699	10934	16506.88	22652	10361	0.457	-1.129	-9.24	2.45410679864169e-20	5.33139737939061e-18	0.0078	0.013	0.0107	0.0107	TRUE	0.1161
FBgn0023549	632	217	238	177	79	91	318	339	339	90	110	112	218.14	332	104	0.31	-1.691	-9.211	3.23259401968124e-20	6.85540831745258e-18	0	0.0273	0.0178	0.0178	TRUE	0.1827
FBgn0036576	5973	1958	1716	2212	873	1067	3008	3060	2445	1128	1221	1308	2028.38	2838	1219	0.429	-1.221	-9.108	8.41854620325311e-20	1.74381374493896e-17	0.0091	0.0144	0.0123	0.0123	TRUE	0.1756
FBgn0039109	1226	413	417	505	169	218	617	645	594	258	236	267	436.37	619	254	0.411	-1.284	-9.1	9.01963510904762e-20	1.82586113446107e-17	0	0.0201	0.0114	0.0114	TRUE	0.0336
FBgn0001137	1154	377	462	492	158	207	581	589	658	251	221	254	425.72	609	242	0.399	-1.327	-8.986	2.573875932215e-19	4.88020521977628e-17	0.0023	0.0202	0.0127	0.0127	TRUE	0.0554
FBgn0261552	22518	5916	5184	6734	1604	1703	11342	9246	7387	3434	2243	2087	5956.41	9325	2588	0.278	-1.848	-8.986	2.57516161815971e-19	4.88020521977628e-17	0.0626	0.0134	0.0302	0.0302	TRUE	0.2024
FBgn0063649	1712	598	525	717	247	279	862	935	748	366	345	342	599.66	848	351	0.415	-1.27	-8.896	5.7875129245649e-19	1.07394536706457e-16	0.0054	0.0181	0.0126	0.0126	TRUE	0.12
FBgn0261584	482	140	152	133	42	39	243	219	217	68	59	48	142.09	226	58	0.261	-1.939	-8.714	2.94347173829038e-18	5.14068681822596e-16	0.0056	0.035	0.0249	0.0249	TRUE	0.2624
FBgn0040827	723	189	192	192	44	57	364	295	274	98	62	70	193.74	311	77	0.25	-1.998	-8.616	6.94135324711319e-18	1.18897371869302e-15	0.0332	0.0291	0.0305	0.0305	TRUE	0.704
FBgn0024315	247	89	94	48	15	23	124	139	134	24	21	28	78.51	132	24	0.187	-2.422	-8.608	7.45309742094271e-18	1.2525422401573e-15	0	0.053	0.0334	0.0334	TRUE	0.0671
FBgn0034389	390	127	103	88	25	37	196	198	147	45	35	45	111.14	180	42	0.233	-2.101	-8.297	1.06565081377711e-16	1.72577305423868e-14	0.0136	0.0412	0.0316	0.0316	TRUE	0.2604
FBgn0050147	2422	792	900	1190	449	546	1220	1238	1282	607	628	669	940.68	1247	635	0.509	-0.976	-8.292	1.10969059390285e-16	1.76500252140941e-14	0	0.0162	0.0087	0.0087	TRUE	0.0265
FBgn0261015	5147	1605	1511	2335	885	1008	2592	2508	2153	1191	1238	1235	1819.61	2418	1221	0.504	-0.987	-8.19	2.61689366745926e-16	4.08924068351923e-14	0.0047	0.0146	0.0098	0.0098	TRUE	0.11
FBgn0265512	252	80	81	53	16	17	127	125	115	27	22	21	72.93	122	23	0.195	-2.355	-8.134	4.15056186257905e-16	6.26594144237146e-14	0	0.056	0.0359	0.0359	TRUE	0.1862
FBgn0261800	94096	30264	31346	53731	20061	20917	47393	47297	44665	27399	28058	25638	36741.63	46452	27032	0.582	-0.781	-7.996	1.28493007159726e-15	1.87620854880604e-13	0.0016	0.0129	0.0068	0.0068	TRUE	0.0249
FBgn0031703	273	93	106	73	25	28	138	145	151	37	35	34	90.07	145	35	0.248	-2.012	-7.963	1.6763874408038e-15	2.40831982826442e-13	0	0.0478	0.0286	0.0286	TRUE	0.024
FBgn0035542	1785	591	516	762	258	330	899	924	735	389	361	404	618.63	853	385	0.451	-1.149	-7.851	4.14190469210497e-15	5.6272613998566e-13	0.0074	0.0179	0.0134	0.0134	TRUE	0.1656
FBgn0052521	7543	2803	2702	3964	1629	1766	3799	4381	3850	2021	2278	2165	3082.35	4010	2155	0.537	-0.897	-7.72	1.1626829778154e-14	1.50087207005823e-12	0.0045	0.0139	0.0093	0.0093	TRUE	0.0787
FBgn0032004	2019	725	867	1117	359	459	1017	1133	1235	570	502	563	836.6	1128	545	0.485	-1.045	-7.681	1.57421747638627e-14	2.00307929459607e-12	0.0062	0.0166	0.0119	0.0119	TRUE	0.0955
