Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030793	939	358	459	991	454	501	473	559	654	505	635	614	573.48	562	585	1.041	0.059	0.346	0.72906479157388	0.93375006142294	0.0193	0.0183	0.0187	0.0187	TRUE	0.2219
FBgn0030794	124	47	49	128	67	55	62	73	70	65	94	67	72.02	68	75	1.097	0.133	0.483	0.62929443166872	0.904127803461204	0.0127	0.0566	0.0402	0.0402	TRUE	0.3503
FBgn0030795	305	100	107	281	101	128	154	156	152	143	141	157	150.63	154	147	0.954	-0.068	-0.358	0.7201275624199	0.931210249488102	0	0.0337	0.019	0.019	TRUE	0.0317
FBgn0030796	17571	5597	6278	19046	7903	8799	8850	8747	8945	9712	11053	10785	9682.16	8847	10517	1.188	0.249	2.424	0.0153598116113349	0.127621121289329	0.0022	0.0132	0.0075	0.0075	TRUE	0.0552
FBgn0030797	383	101	105	179	89	111	193	158	150	91	124	136	142.03	167	117	0.688	-0.539	-2.306	0.0210945883773839	0.16183419352055	0.0263	0.035	0.0316	0.0316	TRUE	0.4794
FBgn0030798	72	2	3	45	2	2	36	3	4	23	3	2	11.98	14	9	0.65	-0.621	-0.607	0.543600366666526	0.867154784489425	1.3565	0.2758	0.6643	0.6643	TRUE	11.0747
FBgn0030799	231	77	112	340	124	162	116	120	160	173	173	199	156.94	132	182	1.386	0.47	2.248	0.0245582419018281	0.180627795722199	0.0098	0.0329	0.0245	0.0245	TRUE	0.3064
FBgn0030800	759	274	315	695	300	338	382	428	449	354	420	414	407.94	420	396	0.943	-0.084	-0.548	0.583572893881414	0.883911406115844	0.0066	0.0206	0.0143	0.0143	TRUE	0.1098
FBgn0030801	404	80	97	320	101	125	203	125	138	163	141	153	154.06	155	152	0.968	-0.048	-0.202	0.839814859817707	0.964444424496689	0.0327	0.0333	0.0331	0.0331	TRUE	0.8811
FBgn0030802	562	194	261	741	237	301	283	303	372	378	331	369	339.4	319	359	1.134	0.182	1.086	0.277478357666532	0.695609268712581	0.0095	0.0221	0.017	0.017	TRUE	0.225
FBgn0030803	792	244	246	739	265	321	399	381	351	377	371	393	378.61	377	380	1.006	0.008	0.055	0.955861013075173	0.992610943199664	0	0.0212	0.0121	0.0121	TRUE	0.0413
FBgn0030804	0	0	1	0	0	0	0	0	1	0	0	0	0.24	0	0	0.404	-1.309	-0.323	0.74687098887584	NA	0	13.273	10	10	TRUE	0.5556
FBgn0030805	417	162	187	771	382	446	210	253	266	393	534	547	367.29	243	491	2.025	1.018	5.419	5.98942025782539e-08	2.69433162810357e-06	0.023	0.0214	0.0221	0.0221	TRUE	0.3856
FBgn0030806	494	191	188	559	218	234	249	298	268	285	305	287	281.99	272	292	1.081	0.112	0.697	0.485697004448966	0.845069545928623	0	0.024	0.0147	0.0147	TRUE	0.0773
FBgn0030807	30	10	9	34	11	13	15	16	13	17	15	16	15.37	15	16	1.12	0.164	0.315	0.752453940268115	0.941107991073735	0	0.2177	0.1267	0.1267	TRUE	0.0318
FBgn0030808	5780	2060	2004	4979	2035	2210	2911	3219	2855	2539	2846	2709	2846.67	2995	2698	0.9	-0.151	-1.349	0.177355768915339	0.566203524634024	0.0032	0.014	0.0087	0.0087	TRUE	0.0509
FBgn0030809	6778	2597	2412	6612	2658	2823	3414	4059	3437	3372	3718	3460	3576.45	3637	3517	0.967	-0.048	-0.403	0.686730292978146	0.92369476284451	0.0052	0.0137	0.0099	0.0099	TRUE	0.1239
FBgn0030812	4486	1575	1476	3719	1563	1586	2259	2461	2103	1896	2186	1944	2141.75	2274	2009	0.883	-0.18	-1.488	0.136716702682007	0.500919650674058	0.0054	0.0143	0.0101	0.0101	TRUE	0.0709
FBgn0030813	128	44	44	170	50	48	64	69	63	87	70	59	68.56	65	72	1.117	0.159	0.57	0.568961769867812	0.877975062659909	0	0.0588	0.0409	0.0409	TRUE	0.384
FBgn0030814	1	0	2	0	0	1	1	0	3	0	0	1	0.76	1	0	0.343	-1.544	-0.593	0.553388269012671	NA	1.341	4.139	3.4928	3.4928	TRUE	0.6499
FBgn0030815	5	2	3	1	1	3	3	3	4	1	1	4	2.58	3	2	0.53	-0.915	-0.693	0.488584583839447	NA	0	1.2315	0.804	0.804	TRUE	0.8922
FBgn0030816	203	76	86	205	62	74	102	119	123	105	87	91	104.25	115	94	0.835	-0.259	-1.13	0.258306856615488	0.672534104610978	0	0.043	0.0278	0.0278	TRUE	0.1177
FBgn0030817	5	3	6	14	4	7	3	5	9	7	6	9	6.18	6	7	1.447	0.533	0.618	0.536710695164337	NA	0	0.5225	0.3559	0.3559	TRUE	0.7693
FBgn0030823	0	0	0	1	3	1	0	0	0	1	4	1	0.99	0	2	9.94	3.313	1.401	0.161320857650092	NA	1.3991	3.1983	2.7643	2.7643	TRUE	0.7332
FBgn0030824	0	1	1	3	0	0	0	2	1	2	0	0	0.75	1	1	0.671	-0.575	-0.218	0.82776730120448	NA	0	4.1953	3.6571	3.6571	TRUE	1.3052
FBgn0030826	1	1	1	2	0	1	1	2	1	1	0	1	0.96	1	1	0.729	-0.457	-0.225	0.822251877172331	NA	0	3.3063	1.8618	1.8618	TRUE	0.3373
FBgn0030828	38	18	14	40	13	14	19	28	20	20	18	17	20.49	22	18	0.852	-0.232	-0.5	0.617367229845712	0.899165288255182	0	0.1665	0.1038	0.1038	TRUE	0.2032
FBgn0030829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0030830	5	3	2	1	0	2	3	5	3	1	0	2	2.17	4	1	0.287	-1.803	-1.191	0.233555105238503	NA	0	1.4643	0.9712	0.9712	TRUE	0.561
FBgn0030832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0030833	326	112	117	343	125	118	164	175	167	175	175	145	166.72	169	165	0.982	-0.026	-0.136	0.892212413065874	0.977992345159188	0	0.0317	0.0196	0.0196	TRUE	0.1119
FBgn0030834	823	243	278	642	279	337	415	380	396	327	390	413	386.84	397	377	0.943	-0.085	-0.546	0.584929034784103	0.883911406115844	0.0069	0.021	0.0148	0.0148	TRUE	0.1721
FBgn0030836	15	3	3	18	2	3	8	5	4	9	3	4	5.36	6	5	0.974	-0.039	-0.042	0.966569683351776	NA	0	0.6001	0.427	0.427	TRUE	1.6841
FBgn0030837	1	0	1	1	0	0	1	0	1	1	0	0	0.41	1	0	0.499	-1.001	-0.317	0.751064542336552	NA	0	7.7612	5.4869	5.4869	TRUE	0.1633
FBgn0030838	1187	343	421	1063	355	424	598	536	600	542	497	520	548.67	578	520	0.899	-0.154	-1.158	0.246696001226392	0.657328675562867	0.0011	0.0186	0.0108	0.0108	TRUE	0.0433
FBgn0030839	287	125	132	213	79	121	145	195	188	109	110	148	149.23	176	122	0.699	-0.516	-2.273	0.0230161794560107	0.171984153032456	0.0232	0.0339	0.0298	0.0298	TRUE	0.3235
FBgn0030840	0	0	0	1	0	0	0	0	0	1	0	0	0.08	0	0	1.696	0.762	0.187	0.851366572160922	NA	0	37.065	10	10	TRUE	0.1402
FBgn0030841	8	2	1	2	1	2	4	3	1	1	1	2	2.24	3	1	0.524	-0.932	-0.686	0.492741997290645	NA	0	1.4177	0.8318	0.8318	TRUE	0.3387
FBgn0030844	2	0	2	1	2	0	1	0	3	1	3	0	1.19	1	1	0.805	-0.313	-0.155	0.876953333000647	NA	0.4593	2.6501	2.0199	2.0199	TRUE	0.4463
FBgn0030846	14	5	5	11	5	2	7	8	7	6	7	2	6.17	7	5	0.691	-0.533	-0.643	0.520501304017139	NA	0	0.5229	0.323	0.323	TRUE	0.2949
FBgn0030847	50	13	15	52	18	23	25	20	21	27	25	28	24.46	22	27	1.176	0.234	0.559	0.575995372887422	0.880451482119146	0	0.1416	0.0839	0.0839	TRUE	0.1214
FBgn0030850	1995	676	747	2248	785	847	1005	1056	1064	1146	1098	1038	1068.02	1042	1094	1.053	0.074	0.64	0.5219590254136	0.860623665190474	0.0012	0.0158	0.0086	0.0086	TRUE	0.024
FBgn0030851	238	83	102	327	101	110	120	130	145	167	141	135	139.63	132	148	1.138	0.186	0.888	0.374380944351071	0.784354629426248	0.0076	0.0354	0.024	0.024	TRUE	0.1611
FBgn0030853	1457	597	772	1483	763	846	734	933	1100	756	1067	1037	937.86	922	953	1.034	0.048	0.257	0.796841417782109	0.954911397479142	0.037	0.0162	0.0244	0.0244	TRUE	0.2567
FBgn0030854	1438	353	457	1746	552	602	724	552	651	890	772	738	721.23	642	800	1.243	0.314	2.052	0.04015200634783	0.247155439212247	0.012	0.0172	0.0153	0.0153	TRUE	0.1722
FBgn0030855	1573	501	575	1454	553	637	792	783	819	741	773	781	781.7	798	765	0.958	-0.062	-0.528	0.597289025963847	0.888648688186666	0	0.0169	0.0086	0.0086	TRUE	0.0096
FBgn0030858	1825	753	870	1857	944	1057	919	1177	1240	947	1320	1296	1149.74	1112	1188	1.068	0.095	0.548	0.583836916968268	0.883911406115844	0.0285	0.0156	0.0209	0.0209	TRUE	0.3904
FBgn0030859	18	5	2	27	3	6	9	8	3	14	4	7	7.51	7	8	1.297	0.375	0.457	0.647363947239925	0.909600486501224	0.1925	0.4323	0.3475	0.3475	TRUE	0.5406
FBgn0030863	3273	881	899	4043	1228	1427	1648	1377	1281	2062	1718	1749	1639.09	1435	1843	1.282	0.359	2.504	0.0122689665487739	0.107136946127381	0.0132	0.0148	0.0141	0.0141	TRUE	0.2104
FBgn0030864	969	279	328	1171	389	462	488	436	467	597	544	566	516.49	464	569	1.226	0.294	2.186	0.0288464089542124	0.200887384327733	0	0.0189	0.0109	0.0109	TRUE	0.0299
FBgn0030868	0	0	0	1	0	1	0	0	0	1	0	1	0.29	0	1	3.148	1.654	0.413	0.679712903740089	NA	0	10.899	9.7786	9.7786	TRUE	0.0765
FBgn0030869	5079	1625	1519	4341	1675	2044	2558	2540	2164	2214	2343	2505	2387.29	2421	2354	0.971	-0.042	-0.346	0.729107035846063	0.93375006142294	0.0058	0.0142	0.0102	0.0102	TRUE	0.1025
FBgn0030870	6	3	1	7	2	5	3	5	1	4	3	6	3.61	3	4	1.369	0.453	0.419	0.674915570752183	NA	0	0.8863	0.5442	0.5442	TRUE	0.1814
