Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0309099	364	109	147	156	59	78	188	163	207	80	81	97	136.03	186	86	0.458	-1.125	-4.344	1.39841687144316e-05	0.000374753871283152	0	0.0739	0.0395	0.0395	TRUE	NA
FBtr0077511	1719	466	356	946	198	277	890	698	501	483	272	344	531.3	696	366	0.524	-0.933	-4.339	1.43313739365312e-05	0.000383459273612242	0.0242	0.0382	0.0309	0.0309	TRUE	NA
FBtr0078064	5269	2216	2646	2846	1663	2008	2727	3320	3727	1453	2284	2491	2666.95	3258	2076	0.625	-0.678	-4.332	1.47491829667031e-05	0.000394023733741315	0.0095	0.0283	0.0172	0.0172	TRUE	NA
FBtr0332089	131	80	64	36	27	35	68	120	90	18	37	43	62.78	93	33	0.34	-1.555	-4.329	1.49668609701383e-05	0.000399217157852009	0.0168	0.1298	0.0717	0.0717	TRUE	NA
FBtr0302498	220	170	103	110	40	34	114	255	145	56	55	42	111.15	171	51	0.312	-1.683	-4.317	1.58288897758689e-05	0.000420249672671713	0.1093	0.0846	0.0967	0.0967	TRUE	NA
FBtr0079946	66410	25111	33478	39090	19443	23288	34369	37620	47156	19961	26699	28890	32449.09	39715	25183	0.63	-0.667	-4.309	1.64248876060852e-05	0.000434727233536986	0.0094	0.0261	0.0172	0.0172	TRUE	NA
FBtr0303454	1033	363	308	635	197	177	535	544	434	324	271	220	387.77	504	272	0.536	-0.899	-4.295	1.7431083951749e-05	0.000457826218769443	0.016	0.0427	0.0285	0.0285	TRUE	NA
FBtr0082096	250	65	52	52	28	22	129	97	73	27	38	27	65.38	100	31	0.305	-1.711	-4.293	1.76553887934601e-05	0.000463008521707392	0.0576	0.1257	0.0919	0.0919	TRUE	NA
FBtr0084434	744	212	276	394	137	170	385	318	389	201	188	211	281.94	364	200	0.549	-0.864	-4.289	1.79160223010407e-05	0.000468411125739557	0.0051	0.049	0.0251	0.0251	TRUE	NA
FBtr0083651	1341	388	267	670	166	206	694	581	376	342	228	256	412.83	550	275	0.501	-0.997	-4.288	1.80531887841597e-05	0.00047127890538375	0.0304	0.0417	0.0358	0.0358	TRUE	NA
FBtr0302693	237	553	182	102	88	63	123	828	256	52	121	78	243.1	402	84	0.242	-2.047	-4.279	1.87509163435862e-05	0.000488749188767243	0.2952	0.0527	0.1575	0.1575	TRUE	NA
FBtr0074652	2006	919	867	1080	584	730	1038	1377	1221	551	802	906	982.54	1212	753	0.611	-0.71	-4.268	1.97548277465168e-05	0.000512579501785946	0.0089	0.0325	0.0188	0.0188	TRUE	NA
FBtr0330612	740	260	270	447	171	180	383	390	380	228	235	223	306.53	384	229	0.595	-0.748	-4.264	2.00765565885422e-05	0.000520140516691976	0	0.0472	0.0185	0.0185	TRUE	NA
FBtr0075626	1334	100	120	397	70	60	690	150	169	203	96	74	230.42	336	124	0.427	-1.227	-4.262	2.03028635148671e-05	0.000524317643632576	0.0484	0.0542	0.0513	0.0513	TRUE	NA
FBtr0344824	764	49	188	119	37	9	395	73	265	61	51	11	142.72	244	41	0.172	-2.543	-4.261	2.0329498747342e-05	0.000524317643632576	0.4921	0.0716	0.2381	0.2381	TRUE	NA
FBtr0100449	436	92	62	115	40	26	226	138	87	59	55	32	99.45	150	49	0.334	-1.584	-4.259	2.05362867483391e-05	0.000528855636667813	0.0748	0.0915	0.0838	0.0838	TRUE	NA
FBtr0089656	7622	1369	1634	5411	863	1128	3945	2051	2302	2763	1185	1399	2274.1	2766	1782	0.628	-0.67	-4.258	2.06527682992326e-05	0.000530262917814578	0.008	0.0288	0.0173	0.0173	TRUE	NA
FBtr0072410	102	65	48	37	16	10	53	97	68	19	22	12	45.17	73	18	0.254	-1.975	-4.257	2.07493334228809e-05	0.000531945915599148	0.0648	0.1703	0.1204	0.1204	TRUE	NA
FBtr0308634	356	300	153	99	88	120	184	449	216	51	121	149	194.91	283	107	0.356	-1.489	-4.254	2.09838553877911e-05	0.000537155378740306	0.1053	0.0594	0.0815	0.0815	TRUE	NA
FBtr0073531	292	104	163	143	60	52	151	156	230	73	82	65	126.07	179	73	0.415	-1.271	-4.247	2.16774408991589e-05	0.000553258614377193	0.0325	0.0776	0.0546	0.0546	TRUE	NA
FBtr0071582	29454	9135	8449	19985	6385	7257	15243	13686	11901	10205	8768	9003	11467.57	13610	9325	0.686	-0.544	-4.233	2.30613534610319e-05	0.000586832749569969	0.0042	0.0265	0.0118	0.0118	TRUE	NA
FBtr0335520	124	79	48	43	17	22	64	118	68	22	23	27	53.79	83	24	0.297	-1.754	-4.224	2.40003243576163e-05	0.000608020034058313	0.0507	0.1472	0.0975	0.0975	TRUE	NA
FBtr0347396	2685	910	928	1778	682	733	1390	1363	1307	908	937	909	1135.63	1353	918	0.678	-0.561	-4.218	2.47022868713465e-05	0.000624347063891672	0	0.0316	0.0118	0.0118	TRUE	NA
FBtr0077080	2620	834	1017	1739	647	715	1356	1249	1433	888	888	887	1116.89	1346	888	0.659	-0.601	-4.215	2.49241161264815e-05	0.000628637523066594	0.002	0.0317	0.0136	0.0136	TRUE	NA
FBtr0088554	47757	17224	21102	28538	13410	16219	24715	25804	29724	14573	18414	20120	22225.11	26748	17702	0.657	-0.605	-4.214	2.51430230376318e-05	0.000633227589013837	0.0053	0.0262	0.0148	0.0148	TRUE	NA
FBtr0088469	1283	355	314	790	213	231	664	532	442	403	292	287	436.76	546	327	0.599	-0.739	-4.212	2.53278143025623e-05	0.000636946250884525	0.0029	0.0408	0.0194	0.0194	TRUE	NA
FBtr0083745	2517	618	732	1766	425	501	1303	926	1031	902	584	622	894.41	1087	703	0.642	-0.64	-4.206	2.5959885577467e-05	0.000650932744940259	0.0029	0.0332	0.0153	0.0153	TRUE	NA
FBtr0079042	482	113	150	259	69	63	249	169	211	132	95	78	155.86	210	102	0.481	-1.056	-4.194	2.73911569184428e-05	0.00067986357787006	0.0081	0.0678	0.0375	0.0375	TRUE	NA
FBtr0077988	936	242	268	624	134	153	484	363	377	319	184	190	319.48	408	231	0.556	-0.846	-4.192	2.77084264369481e-05	0.000686744540202452	0	0.0463	0.0255	0.0255	TRUE	NA
FBtr0088777	2118	817	888	1501	597	673	1096	1224	1251	766	820	835	998.68	1190	807	0.679	-0.558	-4.187	2.82600843079367e-05	0.000699406502114607	0	0.0324	0.0117	0.0117	TRUE	NA
FBtr0088337	68	34	63	12	16	13	35	51	89	6	22	16	36.52	58	15	0.235	-2.092	-4.184	2.8685023351863e-05	0.000708900339348418	0.0664	0.2046	0.1345	0.1345	TRUE	NA
FBtr0079466	1995	712	947	1335	513	586	1032	1067	1334	682	704	727	924.36	1144	704	0.617	-0.696	-4.174	2.9878996681427e-05	0.000737344851918209	0.0085	0.033	0.0188	0.0188	TRUE	NA
FBtr0084102	2729	710	866	1752	477	628	1412	1064	1220	895	655	779	1004.09	1232	776	0.63	-0.667	-4.159	3.19072972535333e-05	0.000781774364564784	0.0062	0.0324	0.0173	0.0173	TRUE	NA
FBtr0330325	507	172	189	312	98	91	262	258	266	159	135	113	198.84	262	136	0.518	-0.95	-4.155	3.25675539978519e-05	0.000796813293319768	0	0.0587	0.0317	0.0317	TRUE	NA
FBtr0342809	560	229	202	342	119	130	290	343	285	175	163	161	236.12	306	166	0.547	-0.871	-4.152	3.29137441124078e-05	0.000804136218336048	0.0046	0.0535	0.0268	0.0268	TRUE	NA
FBtr0080775	626	442	258	313	166	166	324	662	363	160	228	206	323.88	450	198	0.446	-1.165	-4.15	3.3241185700973e-05	0.000810980904633554	0.0602	0.046	0.0531	0.0531	TRUE	NA
FBtr0113061	644	334	293	411	160	205	333	500	413	210	220	254	321.71	415	228	0.556	-0.847	-4.149	3.33420900112719e-05	0.00081228719571495	0.0103	0.0462	0.0265	0.0265	TRUE	NA
FBtr0308628	204	107	77	74	41	47	106	160	108	38	56	58	87.79	125	51	0.401	-1.319	-4.147	3.37048717062676e-05	0.000819282384084886	0.0215	0.1002	0.0588	0.0588	TRUE	NA
FBtr0346089	18984	6056	6699	10316	4567	5495	9825	9073	9436	5268	6271	6817	7781.57	9445	6119	0.645	-0.633	-4.147	3.37247602567739e-05	0.000819282384084886	0.0087	0.0267	0.0167	0.0167	TRUE	NA
FBtr0083641	1581	810	653	714	497	520	818	1214	920	365	682	645	773.94	984	564	0.556	-0.847	-4.123	3.7324363857562e-05	0.000901619950029641	0.0244	0.0343	0.029	0.029	TRUE	NA
FBtr0089517	1075	417	476	746	246	314	556	625	670	381	338	390	493.3	617	370	0.602	-0.732	-4.123	3.74161309736951e-05	0.000902565488508923	0.0066	0.0391	0.0204	0.0204	TRUE	NA
FBtr0071458	694	234	262	415	161	173	359	351	369	212	221	215	287.73	360	216	0.6	-0.738	-4.115	3.86762495675095e-05	0.000930345520802742	0	0.0486	0.0193	0.0193	TRUE	NA
FBtr0085146	693	76	225	78	41	75	359	114	317	40	56	93	163.1	263	63	0.238	-2.073	-4.104	4.06773476723749e-05	0.000968968319345698	0.312	0.0659	0.1736	0.1736	TRUE	NA
FBtr0343633	499	484	197	210	106	136	258	725	277	107	146	169	280.39	420	141	0.345	-1.536	-4.104	4.0659119227523e-05	0.000968968319345698	0.1514	0.0492	0.0961	0.0961	TRUE	NA
