Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0085899	1158	172	320	2080	787	782	599	258	451	1062	1081	970	736.78	436	1038	2.449	1.292	4.678	2.90018858039543e-06	9.29740828829197e-05	0.074	0.0348	0.0531	0.0531	TRUE	NA
FBtr0087618	10531	3913	2626	19159	7932	7661	5450	5862	3699	9783	10892	9504	7531.75	5004	10060	2.014	1.01	4.654	3.25568544131909e-06	0.000103596031547428	0.0378	0.0268	0.0338	0.0338	TRUE	NA
FBtr0342808	118	93	80	694	240	196	61	139	113	354	330	243	206.7	104	309	3.117	1.64	4.651	3.2980960827089e-06	0.000104751196138038	0.1108	0.0575	0.0826	0.0826	TRUE	NA
FBtr0342820	108	82	71	494	209	169	56	123	100	252	287	210	171.28	93	250	2.836	1.504	4.651	3.31107712102745e-06	0.000104969101114125	0.0709	0.064	0.0674	0.0674	TRUE	NA
FBtr0074805	2083	488	516	3181	816	909	1078	731	727	1624	1121	1128	1068.08	845	1291	1.529	0.613	4.643	3.42611713751426e-06	0.000107818963349554	0	0.032	0.0114	0.0114	TRUE	NA
FBtr0080389	5399	551	632	7712	2382	1997	2794	825	890	3938	3271	2477	2366.03	1503	3229	2.513	1.329	4.642	3.45699094871425e-06	0.000108392782013525	0.0933	0.0287	0.0584	0.0584	TRUE	NA
FBtr0299538	529	379	364	1300	708	675	274	568	513	664	972	837	637.95	452	824	1.898	0.925	4.627	3.71894649296598e-06	0.000115970275092472	0.0193	0.0361	0.027	0.027	TRUE	NA
FBtr0075191	1935	1344	1730	3896	2788	2670	1001	2014	2437	1989	3828	3312	2430.31	1817	3043	1.723	0.785	4.625	3.74862552420044e-06	0.000116592197191437	0.0161	0.0286	0.0203	0.0203	TRUE	NA
FBtr0114602	1050	173	126	1576	686	742	543	259	177	805	942	920	607.89	326	889	2.993	1.581	4.618	3.87108608990502e-06	0.000120059670032479	0.1383	0.0366	0.0819	0.0819	TRUE	NA
FBtr0080846	556	177	169	1083	294	389	288	265	238	553	404	483	371.71	264	480	1.819	0.863	4.611	4.01081798799446e-06	0.000123722193007362	0.0048	0.0435	0.0219	0.0219	TRUE	NA
FBtr0339428	66	84	183	398	313	439	34	126	258	203	430	545	265.9	139	393	3.34	1.74	4.593	4.37515206245621e-06	0.000134236552814287	0.1564	0.0504	0.0975	0.0975	TRUE	NA
FBtr0300542	97	60	45	268	136	133	50	90	63	137	187	165	115.35	68	163	2.443	1.289	4.574	4.77774366618468e-06	0.000146066099142127	0.0055	0.0825	0.0461	0.0461	TRUE	NA
FBtr0345339	60	15	12	184	61	53	31	22	17	94	84	66	52.32	23	81	3.464	1.792	4.569	4.88970204077231e-06	0.000148957868030703	0	0.1506	0.08	0.08	TRUE	NA
FBtr0087292	1127	251	314	2171	458	583	583	376	442	1109	629	723	643.72	467	820	1.736	0.796	4.564	5.02131361374064e-06	0.000152156448390929	0.0073	0.036	0.0199	0.0199	TRUE	NA
FBtr0331664	29	29	32	194	81	104	15	43	45	99	111	129	73.81	34	113	3.659	1.871	4.562	5.05663686029304e-06	0.000152956576350769	0	0.1143	0.1004	0.1004	TRUE	NA
FBtr0088832	1854	612	751	2984	1109	1240	959	917	1058	1524	1523	1538	1253.18	978	1528	1.563	0.644	4.558	5.1719987740755e-06	0.000156170688334804	0.0018	0.0311	0.0135	0.0135	TRUE	NA
FBtr0085602	275	151	128	572	257	329	142	226	180	292	353	408	267	183	351	1.935	0.952	4.555	5.22834002983676e-06	0.000157594481285993	0.0063	0.0503	0.0271	0.0271	TRUE	NA
FBtr0083035	4641	1623	1721	6395	2850	3333	2402	2432	2424	3266	3914	4135	3095.22	2419	3772	1.55	0.633	4.555	5.24477478484848e-06	0.000157812512868309	0.0047	0.028	0.0135	0.0135	TRUE	NA
FBtr0075707	24	16	11	66	68	82	12	24	15	34	93	102	46.78	17	76	4.004	2.001	4.551	5.3473633344876e-06	0.000160336763198945	0.0332	0.1654	0.1024	0.1024	TRUE	NA
FBtr0308620	3324	882	743	5183	1670	1626	1720	1321	1047	2647	2293	2017	1840.86	1363	2319	1.719	0.782	4.547	5.45188439020848e-06	0.000162901165812658	0.0137	0.0294	0.0206	0.0206	TRUE	NA
FBtr0070822	28245	33006	37192	56681	52911	62280	14617	49448	52387	28944	72656	77261	49218.99	38817	59620	1.625	0.7	4.546	5.47464148227872e-06	0.000163296654021848	0.0109	0.026	0.0171	0.0171	TRUE	NA
FBtr0079523	484	117	125	970	245	231	250	175	176	495	336	287	286.69	200	373	1.846	0.884	4.526	5.99754834576379e-06	0.00017827374640935	0.003	0.0487	0.023	0.023	TRUE	NA
FBtr0082018	475	156	186	953	301	336	246	234	262	487	413	417	343.05	247	439	1.779	0.831	4.524	6.06252883958922e-06	0.000179893481189956	0.0021	0.0449	0.0208	0.0208	TRUE	NA
FBtr0302561	106	15	24	247	80	158	55	22	34	126	110	196	90.52	37	144	3.963	1.987	4.505	6.6299593599904e-06	0.000195043624327951	0.1462	0.098	0.1207	0.1207	TRUE	NA
FBtr0088073	1978	756	769	2835	1257	1414	1024	1133	1083	1448	1726	1754	1361.22	1080	1643	1.515	0.599	4.498	6.86472247508123e-06	0.000201259581487382	0.0011	0.0307	0.012	0.012	TRUE	NA
FBtr0334633	26	8	10	84	53	50	13	12	14	43	73	62	36.2	13	59	4.277	2.097	4.494	6.98278002537092e-06	0.000204023271235327	0.0196	0.2061	0.1093	0.1093	TRUE	NA
FBtr0077136	271	74	78	589	152	164	140	111	110	301	209	203	178.99	120	238	1.969	0.977	4.491	7.0810673531474e-06	0.000205941395915858	2e-04	0.0624	0.027	0.027	TRUE	NA
FBtr0340405	295	82	81	1157	183	168	153	123	114	591	251	208	240.02	130	350	2.482	1.311	4.488	7.19103026882011e-06	0.000208685888562663	0.0568	0.0531	0.0548	0.0548	TRUE	NA
FBtr0339974	143	26	32	397	108	73	74	39	45	203	148	91	99.94	53	147	2.798	1.484	4.482	7.38812162341356e-06	0.00021320593882175	0.0354	0.0912	0.0633	0.0633	TRUE	NA
FBtr0110921	55	31	23	251	115	67	28	46	32	128	158	83	79.42	35	123	3.512	1.812	4.456	8.35660456355135e-06	0.000238079941643636	0.0909	0.108	0.0996	0.0996	TRUE	NA
FBtr0336697	43	19	32	199	74	77	22	28	45	102	102	96	65.76	32	100	3.242	1.697	4.438	9.09846890484747e-06	0.000258357351303045	0.0344	0.1251	0.0831	0.0831	TRUE	NA
FBtr0303750	485	164	155	2224	314	350	251	246	218	1136	431	434	452.68	238	667	2.522	1.335	4.433	9.29988721248211e-06	0.000263481510306259	0.0852	0.0403	0.0618	0.0618	TRUE	NA
FBtr0307015	11211	2489	2485	14911	6530	6563	5802	3729	3500	7614	8967	8142	6292.32	4344	8241	1.945	0.96	4.428	9.49401373391877e-06	0.000268256720840924	0.0361	0.0269	0.0337	0.0337	TRUE	NA
FBtr0300941	561	143	168	1114	272	299	290	214	237	569	374	371	342.42	247	438	1.758	0.814	4.424	9.68422648240599e-06	0.000272732624630123	0.003	0.045	0.0207	0.0207	TRUE	NA
