"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0073120",1151.49259702456,1357.4965626771,1241.66229637736,2574.37276139028,2215.47878490634,2694.63649887302,1.19869704596752e-09,1.4384875327952,7.6608745827796e-14,2.71036571948964,8.92129056493249
"FBtr0337020",45.4875531583163,140.589500688477,140.755452704009,1101.62306703724,1190.14131674477,835.68196008351,3.01629675309997e-07,4.70924332341797,1.9277156982808e-11,26.1591421127963,6.52052593339448
"FBtr0300272",22.9910116418936,35.0314498897073,17.5640608132436,141.421751540484,131.077671920578,153.71311480481,1.08395531977593e-07,3.64716374635393,6.92756004202677e-12,12.5286906698531,6.96498861888128
"FBtr0087859",636.575142619927,615.853532002861,606.542352735342,990.243325465309,942.477044295152,1079.5785839749,8.22155519439739e-05,1.00628285616497,5.25439713325071e-09,2.00872888117207,4.08504602327986
"FBtr0332167",16.1414818176944,3.88242138227781,3.89543735972341,80.9299237261418,107.532865288679,86.1047625232953,0.0029848267938802,5.28709548709064,1.90760324271758e-07,39.0458005522714,2.52508086542056
"FBtr0075699",421.943444490318,320.824353286839,398.458969107375,1446.19820529463,1521.73303825771,1541.43277301277,7.43749954384354e-37,2.86060981560812,4.75330705173103e-41,7.26322269968147,36.1285730478995
"FBtr0302977",3.31709270289735,2.79821542840744,2.80875917269626,35.1112642405663,35.5711953554701,37.3277756384166,5.77276527455687e-09,5.5538142715191,3.68937513552558e-13,46.9747725643953,8.23861610091765
"FBtr0080839",444.660933205353,406.048397492312,549.955806915844,1037.27442555368,910.913114910195,1027.33412255638,1.43612646772431e-06,1.56947922313794,9.17828636623195e-11,2.96797558284033,5.84280731370348
"FBtr0340135",945.763540019261,1056.27814283832,825.345036260422,2053.70186220854,2029.05807525268,2229.2224825658,1.67720586018736e-13,1.67176813637449,1.07190251178332e-17,3.18604829627124,12.7754136288331
"FBtr0073359",3581.4458911425,3178.36655700389,2775.73392296929,5685.84957626614,6761.71820767735,6085.4458655563,5.98189118224807e-07,1.38314467748345,3.82302753387107e-11,2.60836303132332,6.22316149156867
"FBtr0077920",450.507573280528,412.646489352887,404.155670954995,724.139935972455,770.097338508514,802.411077224671,1.55658298229211e-06,1.23650468138166,9.94812412789744e-11,2.35626970171284,5.8078277218874
"FBtr0072635",109.246114617324,61.8316777825496,47.7900171095621,287.20972885359,396.595021483745,312.674529562087,0.00022410732501446,3.16132239424579,1.43227024358957e-08,8.94649382747813,3.64954394818886
"FBtr0075199",561.299191846727,738.771455638316,608.138458926244,1343.56404993723,1188.97263146344,1221.96370920557,2.44147168945185e-06,1.40907813080798,1.56034491560801e-10,2.65567413395535,5.61234830729471
