"ID"	"S2_DRSC_CG8144_RNAi_1"	"S2_DRSC_CG8144_RNAi_3"	"S2_DRSC_CG8144_RNAi_4"	"S2_DRSC_Untreated_1"	"S2_DRSC_Untreated_3"	"S2_DRSC_Untreated_4"
"FBtr0076364"	"373.531533954253"	"250.599922133749"	"413.015406711646"	"142.410234910222"	"188.269592640008"	"197.716873541914"
"FBtr0076365"	"4.35340805638545"	"191.198189743091"	"11.952139823695"	"113.639826083455"	"12.842881971177"	"26.2230831933405"
"FBtr0076362"	"1595.3089413315"	"1460.45166505705"	"1395.95751542191"	"1893.77383251151"	"2079.1961277809"	"2060.02748655231"
"FBtr0346377"	"162.708684740959"	"174.048424493158"	"142.582122113149"	"184.86524399294"	"160.05979857351"	"145.206845524353"
"FBtr0071501"	"344.445461085272"	"265.921650456272"	"377.224438379329"	"272.394376587902"	"266.813441511464"	"320.675986187047"
"FBtr0334457"	"288.380520053815"	"293.971934208671"	"256.475454871785"	"230.267030686524"	"229.293113995426"	"242.419306066952"
"FBtr0071500"	"1658.72909009088"	"1811.3121990847"	"1644.9829623639"	"1707.62809367963"	"1735.00305024771"	"1693.85440341319"
"FBtr0339592"	"22.3353621377317"	"25.52923630482"	"14.2634541351526"	"28.8788993446823"	"38.5171810542122"	"22.0625072410284"
"FBtr0301844"	"19.0591809502401"	"10.9291620434091"	"26.3481481695009"	"19.0549901523825"	"22.062847321651"	"17.7823455361487"
"FBtr0074060"	"197.079582847599"	"169.00586052162"	"187.854149612406"	"172.555200821459"	"174.386616858158"	"209.403586541118"
"FBtr0076663"	"119.990826193237"	"150.549110613273"	"113.791718189457"	"91.1169441465216"	"84.9136298705617"	"81.4172895646267"
"FBtr0085949"	"47.9212906760157"	"8.24661213044032"	"37.0705873927971"	"20.4897318501756"	"55.0875917175906"	"36.1727007835226"
"FBtr0302494"	"143.098472114286"	"159.583811182682"	"148.392696089724"	"136.453048755288"	"126.879271743924"	"126.022622875162"
"FBtr0086940"	"131.407551578941"	"146.51046979994"	"126.663279720902"	"138.006140823777"	"119.760554345776"	"143.057829190076"
"FBtr0076032"	"17665.3232386766"	"16886.9878829944"	"16219.2006721008"	"14893.0255195952"	"13256.7375888009"	"20231.163529389"
