"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0072393",716.881565766517,793.188058147528,838.742447339485,240.765053563268,168.344658805233,160.922071091547,5.72017699036807e-16,-2.95268456698355,3.6557659553704e-20,0.129167536758136,15.2425905333134
"FBtr0087390",521.927746672584,567.290572130076,652.626833639795,279.78450000896,216.240285088652,209.694356799714,2.99550780095673e-06,-1.88177735191851,1.91442947591022e-10,0.27134921649126,5.52352954507443
"FBtr0079708",456.97339091385,471.175209529275,546.171495592116,261.682885092011,208.829595612343,223.380402132136,8.6854578341957e-05,-1.57056325928599,5.55087737853627e-09,0.336676922615316,4.06120728376563
"FBtr0336736",543.110595909177,645.870405593512,525.380898729592,234.956965597443,215.184114144301,183.593321105555,1.55982255855779e-09,-2.07553532161779,9.96882826457334e-14,0.237247481642611,8.80692480307004
"FBtr0344277",621.288899444537,758.848298619623,779.938014760049,251.496537347394,106.420825372856,149.88977120954,0.000103931542186517,-3.01624444847418,6.64226638886155e-09,0.123600420070033,3.98325262839425
"FBtr0088550",5245.22610485611,4848.27363205018,5720.73615469502,3243.29284163754,3151.83615861008,3299.67751010533,1.60861551587383e-06,-1.01880239063649,1.02806641265024e-10,0.493525867722829,5.79354774663317
"FBtr0082183",1184.12783612387,1128.27878308162,1154.76511678245,364.928038808785,343.996081235677,559.415616203722,1.55936714142923e-06,-2.09304818303679,9.96591769303528e-11,0.234384946010106,5.80705162135705
"FBtr0087308",159.962410622509,145.095734494436,148.064111371881,39.6971259637191,44.7792750676016,43.753677905919,7.63944363125116e-08,-2.64517488676202,4.88236954767761e-12,0.159853818642992,7.11693826926148
"FBtr0087307",931.571665896583,1087.51799142285,1063.13396105684,527.081341013159,519.958432237229,318.543935936366,0.00982958888059594,-1.69507472391367,6.28209169846995e-07,0.308838662670826,2.00746464601551
"FBtr0071835",275.632526425506,335.854033030365,278.696783292348,61.9002957344261,38.4433900831083,37.4646538753751,1.90571273216454e-14,-3.89644505220208,1.21794128725285e-18,0.0671511048866127,13.7199425644733
