target_id	length	eff_length	est_counts	tpm
FBtr0075502	509	327.312	0	0
FBtr0300738	2350	2168.31	0	0
FBtr0300739	2172	1990.31	27.9825	1.68641
FBtr0300737	2184	2002.31	0.0175264	0.00104993
FBtr0300736	2338	2156.31	0	0
FBtr0078628	2467	2285.31	0	0
FBtr0300740	2479	2297.31	0	0
FBtr0078627	2301	2119.31	0	0
FBtr0300741	2313	2131.31	0	0
FBtr0072762	889	707.312	431.181	73.1217
FBtr0346821	1270	1088.31	32.0341	3.53067
FBtr0331460	900	718.312	0	0
FBtr0303848	5005	4823.31	161.13	4.00708
FBtr0086122	1465	1283.31	7	0.654281
FBtr0335147	3125	2943.31	0	0
FBtr0081459	3019	2837.31	509.537	21.5411
FBtr0305321	6523	6341.31	58.7624	1.11152
FBtr0083716	5665	5483.31	818.238	17.8993
FBtr0078184	1305	1123.31	7	0.747474
FBtr0081691	765	583.312	0	0
FBtr0085263	1228	1046.31	0	0
FBtr0086342	492	310.312	0	0
FBtr0086343	495	313.312	0	0
FBtr0091847	1023	841.312	5.41554	0.772117
FBtr0072393	1393	1211.31	134.694	13.338
FBtr0343502	867	685.312	0	0
FBtr0343753	3569	3387.31	93.5649	3.31326
FBtr0433525	3725	3543.31	0	0
FBtr0113895	961	779.312	157.969	24.3141
FBtr0345179	887	705.312	287.031	48.8142
FBtr0334135	4703	4521.31	0	0
FBtr0334137	4561	4379.31	14.5316	0.398022
FBtr0334141	5321	5139.31	0	0
FBtr0334139	4203	4021.31	0	0
FBtr0334140	5704	5522.31	0	0
FBtr0344148	4894	4712.31	0	0
FBtr0334142	5071	4889.31	0	0
FBtr0334138	5563	5381.31	0	0
FBtr0334136	3862	3680.31	94.4684	3.07893
FBtr0085105	995	813.312	64	9.4389
FBtr0346720	2745	2563.31	0	0
FBtr0076089	442	260.312	0	0
FBtr0087500	1417	1235.31	117	11.3608
FBtr0073094	1694	1512.31	83.2829	6.60561
FBtr0073093	1577	1395.31	893.717	76.8293
FBtr0343515	1092	910.312	0	0
FBtr0072451	975	793.312	69	10.4329
FBtr0071607	2252	2070.31	59	3.41833
FBtr0081516	4704	4522.31	6	0.159144
FBtr0300749	931	749.312	18.4886	2.95964
FBtr0346532	1185	1003.31	3.28955	0.393277
FBtr0073076	880	698.312	362.222	62.2191
FBtr0089289	4677	4495.31	12.5312	0.334373
FBtr0100448	4590	4408.31	15.9692	0.434518
FBtr0089290	4681	4499.31	4.1897e-05	1.11695e-06
FBtr0089288	4037	3855.31	400.797	12.4699
FBtr0100447	4417	4235.31	95.1917	2.69595
FBtr0329933	4663	4481.31	0.00173523	4.64463e-05
FBtr0336949	2826	2644.31	500.521	22.7043
FBtr0088786	1378	1196.31	810.378	81.2534
FBtr0088785	1869	1687.31	167.515	11.9085
FBtr0303077	607	425.312	0	0
FBtr0339716	615	433.312	0	0
FBtr0085459	600	418.312	266	76.2746
FBtr0070973	1218	1036.31	11	1.27321
FBtr0089252	2767	2585.31	85.0847	3.94763
FBtr0334488	2840	2658.31	25.7127	1.16022
FBtr0334489	2902	2720.31	0	0
