target_id	length	eff_length	est_counts	tpm
FBtr0100600	3804	3622.31	105.203	3.48368
FBtr0300305	309	127.353	0	0
FBtr0077162	567	385.312	0	0
FBtr0072277	713	531.312	249	56.2145
FBtr0344898	1082	900.312	0	0
FBtr0086817	1175	993.312	0	0
FBtr0333271	5146	4964.31	33.1864	0.801861
FBtr0072639	5149	4967.31	15.8136	0.381863
FBtr0340000	824	642.312	6.47166	1.20856
FBtr0087390	427	245.312	206.528	100.986
FBtr0070472	3021	2839.31	11.2997	0.477365
FBtr0331752	4499	4317.31	645.852	17.9439
FBtr0070475	3174	2992.31	178.136	7.14075
FBtr0070474	3218	3036.31	4.04991	0.159992
FBtr0302185	2166	1984.31	26.0673	1.57574
FBtr0070471	4805	4623.31	242.498	6.29147
FBtr0112828	2903	2721.31	105.808	4.6638
FBtr0301966	3182	3000.31	12.6366	0.505199
FBtr0070468	3055	2873.31	430.146	17.9569
FBtr0070476	2745	2563.31	0	0
FBtr0070470	3110	2928.31	0	0
FBtr0331751	4750	4568.31	27.947	0.7338
FBtr0070469	4244	4062.31	474.528	14.0116
FBtr0070467	2929	2747.31	0	0
FBtr0331753	5004	4822.31	42.1558	1.04858
FBtr0070466	2847	2665.31	0.000254157	1.1438e-05
FBtr0070473	3091	2909.31	0	0
FBtr0076265	1575	1393.31	700	60.2626
FBtr0331935	1030	848.312	0	0
FBtr0088237	816	634.312	518	97.9547
FBtr0081705	1363	1181.31	0	0
FBtr0088524	1299	1117.31	797	85.5623
FBtr0074540	843	661.312	135	24.4865
FBtr0074494	1357	1175.31	4	0.40823
FBtr0085714	3349	3167.31	2781.16	105.326
FBtr0085713	3440	3258.31	23883.8	879.244
FBtr0076256	334	152.353	2	1.57463
FBtr0339552	1718	1536.31	116.261	9.07726
FBtr0078950	1533	1351.31	336.739	29.8907
FBtr0070990	1321	1139.31	7.54986	0.794868
FBtr0100409	805	623.312	0	0
FBtr0343330	706	524.312	459.526	105.128
FBtr0304902	1617	1435.31	5.85454	0.489266
FBtr0304901	2286	2104.31	3.14546	0.179297
FBtr0078872	1228	1046.31	1	0.11464
FBtr0077839	2112	1930.31	198.186	12.3153
FBtr0077837	2331	2149.31	17.2357	0.961895
FBtr0077838	2235	2053.31	4.01115e-06	2.34322e-07
FBtr0077836	2325	2143.31	505.578	28.2944
FBtr0075133	4018	3836.31	10.4932	0.328089
FBtr0332862	2190	2008.31	62.5068	3.73331
FBtr0087988	1754	1572.31	2258.2	172.275
FBtr0087987	1948	1766.31	7019.72	476.706
FBtr0074688	1633	1451.31	615	50.8291
FBtr0086864	3503	3321.31	363	13.1098
FBtr0083361	1283	1101.31	0	0
FBtr0392904	4164	3982.31	325.99	9.81899
FBtr0084588	2385	2203.31	1814.32	98.7723
FBtr0303161	2639	2457.31	206.558	10.0828
FBtr0079257	1918	1736.31	232	16.0272
FBtr0307341	906	724.312	0	0
FBtr0084989	527	345.312	0.836398	0.290536
FBtr0306309	750	568.312	0	0
FBtr0344570	539	357.312	1	0.3357
FBtr0078090	1219	1037.31	283	32.7247
FBtr0087439	546	364.312	77	25.3522
FBtr0070960	2096	1914.31	6	0.375956
FBtr0302357	2296	2114.31	0	0
FBtr0302356	2428	2246.31	0	0
FBtr0340571	3830	3648.31	0	0
FBtr0340572	3825	3643.31	0	0
FBtr0080267	3305	3123.31	0	0
FBtr0077141	787	605.312	0	0
FBtr0306593	981	799.312	0	0
FBtr0081719	1938	1756.31	1195	81.614
FBtr0071549	1655	1473.31	408	33.2173
FBtr0308832	1068	886.312	103.559	14.0152
FBtr0308833	2043	1861.31	460.599	29.6826
FBtr0074921	2263	2081.31	37.842	2.1809
FBtr0073011	1996	1814.31	1	0.0661129
FBtr0112378	450	268.312	0	0
FBtr0342602	1596	1414.31	0	0
FBtr0080326	1217	1035.31	754	87.3572
FBtr0085405	675	493.312	740	179.932
FBtr0339295	331	149.353	0	0
FBtr0300316	205	28.8074	0	0
FBtr0300904	2130	1948.31	0	0
FBtr0081633	2196	2014.31	0	0
FBtr0300905	2052	1870.31	0	0
FBtr0335279	1234	1052.31	0	0
FBtr0335281	1199	1017.31	0	0
FBtr0290216	733	551.312	0	0
FBtr0335280	740	558.312	0	0
FBtr0077120	1711	1529.31	215.197	16.8787
FBtr0081676	887	705.312	0	0
FBtr0076639	2093	1911.31	2	0.125515
FBtr0079280	1148	966.312	2	0.248262
FBtr0304827	5797	5615.31	0	0
FBtr0433494	6405	6223.31	22.3508	0.430794
FBtr0333832	6581	6399.31	0	0
FBtr0433497	5654	5472.31	0.0184694	0.000404837
FBtr0333833	6118	5936.31	0	0
FBtr0433496	5848	5666.31	3.92704	0.0831311
FBtr0304826	8410	8228.31	3.01405e-07	4.39378e-09
FBtr0433495	8302	8120.31	3.30917	0.0488816
FBtr0433493	8251	8069.31	0	0
FBtr0300808	2019	1837.31	0	0
FBtr0300809	4061	3879.31	0	0
FBtr0301700	4064	3882.31	0	0
FBtr0072287	5108	4926.31	1170	28.488
FBtr0343633	2816	2634.31	0	0
FBtr0074281	2640	2458.31	1358.73	66.297
FBtr0343632	2730	2548.31	77.28	3.63758
FBtr0074279	3898	3716.31	1146.35	37.0001
FBtr0074280	3895	3713.31	38.6447	1.24832
FBtr0072238	1035	853.312	0	0
FBtr0308073	1317	1135.31	11.3007	1.19396
FBtr0082360	764	582.312	397.699	81.9214
FBtr0082361	1024	842.312	0	0
FBtr0079938	1428	1246.31	42	4.04223
FBtr0077227	1279	1097.31	841.389	91.974
FBtr0091702	1278	1096.31	17.6108	1.92683
FBtr0074882	2425	2243.31	439.942	23.5236
FBtr0332153	3588	3406.31	55.6491	1.95962
FBtr0310476	2042	1860.31	49.9506	3.22072
FBtr0100666	2416	2234.31	136.146	7.30901
FBtr0332726	2033	1851.31	11.3129	0.732984
FBtr0080287	1089	907.312	197.262	26.0787
FBtr0309307	5887	5705.31	0	0
FBtr0300898	5037	4855.31	1	0.0247048
FBtr0080024	1050	868.312	70	9.66987
FBtr0077389	2263	2081.31	1683	96.9941
FBtr0290204	1958	1776.31	0	0
FBtr0086689	848	666.312	101.147	18.2084
FBtr0306636	1574	1392.31	222.24	19.1463
FBtr0086687	1472	1290.31	155.936	14.4961
FBtr0086690	2195	2013.31	0	0
FBtr0086686	1532	1350.31	0	0
FBtr0340359	2225	2043.31	67.2783	3.94947
FBtr0301148	981	799.312	592.825	88.9628
FBtr0086684	908	726.312	0	0
FBtr0306637	2237	2055.31	0	0
FBtr0301149	1514	1332.31	9.57388	0.861947
FBtr0086600	1106	924.312	0	0
FBtr0331978	1118	936.312	196	25.1093
FBtr0078769	621	439.312	15176	4143.65
FBtr0070712	1878	1696.31	8	0.565695
FBtr0343263	1108	926.312	0	0
FBtr0343264	928	746.312	0	0
FBtr0072024	920	738.312	0	0
FBtr0113111	979	797.312	0	0
FBtr0333452	4664	4482.31	0	0
FBtr0333450	3996	3814.31	11	0.345919
FBtr0333451	4043	3861.31	3.27621e-06	1.01774e-07
FBtr0300831	4092	3910.31	0	0
FBtr0076303	1640	1458.31	22.0994	1.81772
FBtr0076302	1655	1473.31	5.53482	0.450616
FBtr0076301	2049	1867.31	1112.37	71.4544
FBtr0077098	1123	941.312	752.803	95.9282
FBtr0070552	1047	865.312	1	0.13862
FBtr0075818	1346	1164.31	317	32.6579
FBtr0088789	1908	1726.31	80	5.55865
FBtr0304960	503	321.312	0	0
FBtr0075249	843	661.312	0	0
FBtr0084104	1804	1622.31	3216	237.783
FBtr0336911	2177	1995.31	129.586	7.79017
FBtr0088974	1597	1415.31	211.082	17.8895
FBtr0100360	4963	4781.31	29.2271	0.733224
FBtr0110880	2920	2738.31	0	0
FBtr0334105	2225	2043.31	0	0
FBtr0301185	2946	2764.31	0	0
FBtr0110881	4262	4080.31	69.7729	2.05112
FBtr0336928	1138	956.312	2	0.250858
FBtr0072107	995	813.312	0	0
FBtr0085786	2956	2774.31	473.257	20.4616
FBtr0085785	3082	2900.31	0	0
FBtr0334549	2894	2712.31	33.7431	1.49226
FBtr0334550	3020	2838.31	0	0
FBtr0340191	4545	4363.31	9.30698e-06	2.55853e-07
FBtr0073848	4477	4295.31	2182	60.9338
FBtr0078387	3371	3189.31	241.698	9.09023
FBtr0087487	2027	1845.31	225	14.6255
FBtr0083735	2688	2506.31	0	0
FBtr0332539	2448	2266.31	1	0.0529272
FBtr0077790	977	795.312	0	0
FBtr0331440	941	759.312	0	0
FBtr0331439	971	789.312	0	0
FBtr0082634	1746	1564.31	253	19.3997
FBtr0079612	1320	1138.31	66	6.95474
FBtr0087980	1799	1617.31	0	0
FBtr0087979	1558	1376.31	0	0
FBtr0072044	1063	881.312	0	0
FBtr0343206	1072	890.312	0	0
FBtr0072043	1160	978.312	0	0
FBtr0075225	1132	950.312	0	0
FBtr0112489	446	264.312	27.4647	12.464
FBtr0339263	740	558.312	3.46562	0.744565
FBtr0301018	2276	2094.31	25	1.43185
FBtr0302526	640	458.312	13.3246	3.48732
FBtr0100009	3280	3098.31	166	6.4266
FBtr0089901	2338	2156.31	0	0
FBtr0089902	1803	1621.31	0	0
FBtr0300562	2617	2435.31	100.498	4.94998
FBtr0089900	2125	1943.31	0	0
FBtr0089904	2355	2173.31	0	0
FBtr0301521	2467	2285.31	13.8487	0.726877
FBtr0089905	2568	2386.31	47.6529	2.3953
FBtr0345390	5214	5032.31	0	0
FBtr0331425	3556	3374.31	156.305	5.5563
FBtr0332155	4408	4226.31	163.695	4.64593
FBtr0075014	3541	3359.31	0	0
FBtr0078874	603	421.312	0	0
FBtr0083452	2975	2793.31	285.991	12.2809
FBtr0302317	2262	2080.31	317.009	18.2785
FBtr0333248	2543	2361.31	0	0
FBtr0114524	2411	2229.31	0	0
FBtr0273385	6171	5989.31	0	0
FBtr0339307	6637	6455.31	15.2346	0.283082
FBtr0273384	6439	6257.31	221.765	4.25113
FBtr0082117	3807	3625.31	80.4417	2.66155
FBtr0082116	6303	6121.31	46.4674	0.910546
FBtr0082118	4671	4489.31	96.091	2.56744
FBtr0085011	1569	1387.31	1	0.0864618
FBtr0081174	4145	3963.31	0	0
FBtr0081175	3934	3752.31	0	0
FBtr0303241	4041	3859.31	70.3881	2.1877
FBtr0081176	3893	3711.31	0	0
FBtr0305129	2997	2815.31	273	11.6315
FBtr0339156	2994	2812.31	0	0
FBtr0339157	2988	2806.31	0	0
FBtr0071784	2049	1867.31	0	0
FBtr0071785	1989	1807.31	807.651	53.603
FBtr0089148	3050	2868.31	33.6459	1.40703
FBtr0089147	2773	2591.31	0	0
FBtr0089150	2762	2580.31	52.3036	2.43141
FBtr0089146	2709	2527.31	76.7672	3.64347
FBtr0308247	2614	2432.31	437.283	21.5646
FBtr0089149	2840	2658.31	0	0
FBtr0302559	2531	2349.31	0	0
FBtr0346506	2597	2415.31	0	0
FBtr0302190	3048	2866.31	68.3026	2.85833
FBtr0086145	3054	2872.31	159.697	6.66906
FBtr0306281	375	193.353	0	0
FBtr0306280	392	210.312	0	0
FBtr0306258	4812	4630.31	42.4729	1.10027
FBtr0073119	3828	3646.31	1973.46	64.9193
FBtr0073120	4106	3924.31	2435.92	74.4556
FBtr0073118	4763	4581.31	2785.12	72.9209
FBtr0337055	3442	3260.31	332.539	12.2344
FBtr0333895	3491	3309.31	2370.37	85.9166
FBtr0337056	4046	3864.31	22.1166	0.686506
FBtr0077442	1411	1229.31	60	5.85447
FBtr0076018	1266	1084.31	16.8241	1.86113
FBtr0076017	963	781.312	81.1759	12.4624
FBtr0339781	3357	3175.31	0	0
FBtr0070778	3093	2911.31	0	0
FBtr0344824	2804	2622.31	0	0
FBtr0345292	830	648.312	40.8181	7.55208
FBtr0070983	837	655.312	56.3168	10.3083
FBtr0070982	1100	918.312	6.93195	0.905448
FBtr0070981	941	759.312	465.834	73.5883
FBtr0070980	854	672.312	28893.1	5154.92
FBtr0307300	2919	2737.31	308.824	13.5327
FBtr0113024	3030	2848.31	0	0
FBtr0332600	2913	2731.31	0	0
FBtr0083414	2815	2633.31	420.466	19.1526
FBtr0337043	3789	3607.31	14.5341	0.483283
FBtr0077516	1338	1156.31	0	0
FBtr0112524	1274	1092.31	13.6407	1.49792
FBtr0089233	3691	3509.31	43.6391	1.4916
FBtr0334626	3376	3194.31	18.5789	0.697656
FBtr0310651	3526	3344.31	0.0605896	0.00217315
FBtr0089229	3501	3319.31	603.721	21.8166
FBtr0082920	981	799.312	0	0
FBtr0077386	1734	1552.31	285.706	22.0769
FBtr0071106	2301	2119.31	0	0
FBtr0070937	2201	2019.31	2143.17	127.307
FBtr0070938	2487	2305.31	1181.83	61.4925
FBtr0070397	1267	1085.31	9	0.994687
FBtr0074346	819	637.312	0	0
FBtr0071471	1606	1424.31	0.929674	0.0782932
FBtr0330316	1609	1427.31	0.0703263	0.00591013
FBtr0074918	1253	1071.31	189.395	21.2056
FBtr0072124	2163	1981.31	357.132	21.6209
FBtr0071683	1189	1007.31	651	77.5203
FBtr0077403	1061	879.312	3.28901	0.448663
FBtr0113021	1089	907.312	0	0
FBtr0077402	1231	1049.31	0	0
FBtr0077401	1011	829.312	1.71099	0.247473
FBtr0300280	1584	1402.31	2	0.171074
FBtr0346378	3461	3279.31	0	0
FBtr0074809	2896	2714.31	808.319	35.7208
FBtr0335137	3353	3171.31	6.93941	0.262471
FBtr0346141	373	191.353	0	0
FBtr0085611	272	90.3631	6	7.9645
FBtr0074029	585	403.312	0	0
FBtr0075388	1505	1323.31	0.324922	0.029452
FBtr0343534	2295	2113.31	2.67508	0.151835
FBtr0086001	1762	1580.31	7	0.531317
FBtr0321315	1239	1057.31	0	0
FBtr0333037	2846	2664.31	0	0
FBtr0075724	2737	2555.31	62.611	2.93904
FBtr0075723	2084	1902.31	38.389	2.4206
FBtr0342770	3744	3562.31	7.2169	0.243006
FBtr0070420	3766	3584.31	2350.78	78.6693
FBtr0342771	3838	3656.31	0	0
FBtr0333323	2883	2701.31	12.8364	0.569988
FBtr0333322	2930	2748.31	0	0
FBtr0074137	2347	2165.31	45.4293	2.5166
FBtr0074135	2386	2204.31	869.734	47.3273
FBtr0308136	1697	1515.31	0	0
FBtr0080237	698	516.312	0	0
FBtr0300638	3446	3264.31	0.666667	0.0244971
FBtr0073729	466	284.312	55.7895	23.5372
FBtr0084836	743	561.312	111	23.7201
FBtr0082430	1248	1066.31	0	0
FBtr0335211	1142	960.312	249	31.1018
FBtr0076857	1307	1125.31	7	0.746145
FBtr0300424	902	720.312	7	1.16567
FBtr0083860	1793	1611.31	0	0
FBtr0302327	1744	1562.31	2001.12	153.639
FBtr0083861	1877	1695.31	119.885	8.4823
FBtr0083086	1479	1297.31	239.076	22.105
FBtr0334589	2552	2370.31	21.7856	1.10246
FBtr0091874	595	413.312	1.72632	0.501004
FBtr0073935	992	810.312	0	0
FBtr0073300	818	636.312	0	0
FBtr0073299	2460	2278.31	0	0
FBtr0088841	1522	1340.31	33.1835	2.96971
FBtr0088842	1468	1286.31	670.226	62.499
FBtr0345599	2094	1912.31	0	0
FBtr0070422	1749	1567.31	2	0.153064
FBtr0342772	681	499.312	0	0
FBtr0070421	1547	1365.31	0	0
FBtr0333023	2495	2313.31	0	0
FBtr0075579	1678	1496.31	5	0.400817
FBtr0072248	2815	2633.31	0	0
FBtr0345620	2931	2749.31	0	0
FBtr0072247	2800	2618.31	3	0.137435
FBtr0072253	1306	1124.31	0	0
FBtr0343432	1090	908.312	269	35.5235
FBtr0073127	1478	1296.31	0.0065027	0.000601703
FBtr0073128	1471	1289.31	4.9935	0.464564
FBtr0079458	1541	1359.31	0	0
FBtr0079460	1595	1413.31	12.6262	1.0716
FBtr0079462	1526	1344.31	1.05501	0.0941357
FBtr0079461	1505	1323.31	1.05593	0.0957131
FBtr0079459	1585	1403.31	5.26287	0.449849
FBtr0081997	1156	974.312	297.779	36.6602
FBtr0081996	1257	1075.31	16.1979	1.80685
FBtr0336761	1233	1051.31	66.0229	7.53289
FBtr0336637	3026	2844.31	4	0.168687
FBtr0300693	1964	1782.31	0	0
FBtr0336636	3290	3108.31	0	0
FBtr0071797	3770	3588.31	0	0
FBtr0336638	1523	1341.31	0	0
FBtr0087382	5033	4851.31	1488.82	36.8113
FBtr0339998	5235	5053.31	0	0
FBtr0301478	2790	2608.31	434.564	19.9845
FBtr0089521	2653	2471.31	106.623	5.17515
FBtr0306351	2221	2039.31	31.7301	1.86632
FBtr0306350	2503	2321.31	27.3925	1.41546
FBtr0330046	2653	2471.31	106.623	5.17515
FBtr0301477	4782	4600.31	18.0673	0.471091
FBtr0300224	1562	1380.31	0	0
FBtr0114515	1508	1326.31	1.37485	0.124339
FBtr0087406	329	147.353	0	0
FBtr0072888	2130	1948.31	0	0
FBtr0085859	1170	988.312	1	0.121368
FBtr0334894	6412	6230.31	2658.31	51.1793
FBtr0084460	6624	6442.31	91.1648	1.6974
FBtr0304567	3987	3805.31	175.524	5.53281
FBtr0070907	2510	2328.31	2351.36	121.137
FBtr0070906	2636	2454.31	7.64418	0.373594
FBtr0305911	1961	1779.31	238.06	16.0484
FBtr0289953	2161	1979.31	104.94	6.35956
FBtr0305910	2015	1833.31	0	0
FBtr0088312	1656	1474.31	0	0
FBtr0088313	2297	2115.31	0.0001076	6.10151e-06
FBtr0088311	2351	2169.31	11.9223	0.659228
FBtr0304592	2591	2409.31	20.0776	0.99958
FBtr0088882	1935	1753.31	1286	87.9792
FBtr0079894	2382	2200.31	408.5	22.2693
FBtr0331635	2356	2174.31	56.6164	3.12334
FBtr0345615	2623	2441.31	91.2122	4.48155
FBtr0071338	3399	3217.31	3759	140.145
FBtr0334508	4486	4304.31	4	0.111469
FBtr0085746	3506	3324.31	0	0
FBtr0085085	1541	1359.31	1008.01	88.95
FBtr0085084	2075	1893.31	10.9861	0.696016
FBtr0079304	905	723.312	0	0
FBtr0079732	925	743.312	1	0.161372
FBtr0071108	3145	2963.31	152.826	6.18611
FBtr0340139	3231	3049.31	0	0
FBtr0071107	3426	3244.31	1096.98	40.5576
FBtr0340138	4238	4056.31	48.199	1.4253
FBtr0309839	4403	4221.31	0	0
FBtr0309836	4378	4196.31	0	0
FBtr0309837	3952	3770.31	0.000472634	1.50365e-05
FBtr0073144	4107	3925.31	5089.72	155.531
FBtr0309838	4006	3824.31	76.2766	2.39241
FBtr0075152	2917	2735.31	544	23.8556
FBtr0300092	607	425.312	0	0
FBtr0073892	1096	914.312	0	0
FBtr0343143	1534	1352.31	0	0
FBtr0332630	1663	1481.31	23.733	1.92178
FBtr0332631	1364	1182.31	514.197	52.167
FBtr0332632	5997	5815.31	328.861	6.78324
FBtr0301268	1587	1405.31	5	0.426772
FBtr0085909	2020	1838.31	6	0.391499
FBtr0080763	2304	2122.31	470	26.5636
FBtr0086733	1297	1115.31	311	33.4474
FBtr0087262	852	670.312	993	177.693
FBtr0303232	702	520.312	35	8.06868
FBtr0344155	6716	6534.31	562.091	10.3182
FBtr0070316	6065	5883.31	1239.91	25.2794
FBtr0344279	6745	6563.31	5	0.0913788
FBtr0076133	3030	2848.31	8	0.3369
FBtr0082259	2901	2719.31	1059	46.7127
FBtr0079708	1718	1536.31	186	14.5222
FBtr0330181	847	665.312	0	0
FBtr0074894	650	468.312	478	122.431
FBtr0082726	2913	2731.31	68.8252	3.02256
FBtr0331429	2603	2421.31	37.4551	1.85549
FBtr0331428	2948	2766.31	72.9018	3.16108
FBtr0082727	2606	2424.31	78.0701	3.86273
FBtr0301219	3098	2916.31	143.748	5.91243
FBtr0088166	1239	1057.31	0	0
FBtr0310646	1830	1648.31	16.1156	1.17275
FBtr0073730	1370	1188.31	1941.88	196.016
FBtr0079724	633	451.312	6.94089	1.84475
FBtr0346454	899	717.312	21.5733	3.6075
FBtr0100541	611	429.312	25244.5	7053.29
FBtr0343865	1567	1385.31	0	0
FBtr0079324	1294	1112.31	2	0.215676
FBtr0079598	1156	974.312	394.2	48.5308
FBtr0081220	1093	911.312	15.4633	2.03533
FBtr0300823	1159	977.312	0	0
FBtr0081221	1054	872.312	50.9922	7.01181
FBtr0310645	979	797.312	159.545	24.0023
FBtr0081219	1084	902.312	0	0
FBtr0075314	465	283.312	158	66.8946
FBtr0070136	2103	1921.31	131.397	8.20327
FBtr0070137	2193	2011.31	0	0
FBtr0070135	2124	1942.31	209.603	12.9442
FBtr0076688	2391	2209.31	432	23.4544
FBtr0346546	2609	2427.31	0	0
FBtr0302935	3103	2921.31	343.427	14.1012
FBtr0082329	3115	2933.31	146.573	5.99367
FBtr0344017	5279	5097.31	11.857	0.279017
FBtr0091678	6366	6184.31	461.386	8.94893
FBtr0344016	5395	5213.31	0	0
FBtr0342985	4422	4240.31	134.116	3.79386
FBtr0071815	4360	4178.31	617.099	17.7155
FBtr0071816	4190	4008.31	44.1219	1.32036
FBtr0071813	4216	4034.31	7812.8	232.293
FBtr0342986	4124	3942.31	0.463937	0.0141158
FBtr0071814	4255	4073.31	57.3353	1.68839
FBtr0083049	682	500.312	276.805	66.3638
FBtr0079593	751	569.312	0	0
FBtr0332415	1011	829.312	36.8773	5.33383
FBtr0345640	3934	3752.31	125.077	3.99832
FBtr0077562	3784	3602.31	1674.92	55.7714
FBtr0085387	5031	4849.31	363.86	9.0002
FBtr0085386	4880	4698.31	528.14	13.4836
FBtr0085614	355	173.353	15.6204	10.8084
FBtr0303924	5093	4911.31	2	0.0488462
FBtr0303923	5120	4938.31	0	0
FBtr0300811	4420	4238.31	627	17.7449
FBtr0340626	2866	2684.31	0	0
FBtr0340627	2995	2813.31	0	0
FBtr0340628	2870	2688.31	0	0
FBtr0087784	1976	1794.31	3075.72	205.612
FBtr0332882	2246	2064.31	0	0
FBtr0339391	1899	1717.31	473.277	33.0571
FBtr0084095	7188	7006.31	66.3984	1.13675
FBtr0343807	7002	6820.31	0	0
FBtr0343805	4551	4369.31	166.383	4.56765
FBtr0343806	4719	4537.31	648.219	17.1365
FBtr0086801	711	529.312	7	1.5863
FBtr0344145	6340	6158.31	0	0
FBtr0100454	3868	3686.31	0	0
FBtr0082255	6557	6375.31	0	0
FBtr0082256	4226	4044.31	0	0
FBtr0100455	2462	2280.31	0	0
FBtr0088783	1907	1725.31	686	47.693
FBtr0301333	1977	1795.31	0	0
FBtr0332689	1974	1792.31	0	0
FBtr0086107	5316	5134.31	2115	49.4113
FBtr0072159	694	512.312	7	1.63894
FBtr0076218	2574	2392.31	16.1835	0.811435
FBtr0076219	2478	2296.31	974.816	50.9202
FBtr0113346	1241	1059.31	1	0.113233
FBtr0100083	570	388.312	0	0
FBtr0079765	644	462.312	1	0.259456
FBtr0071734	1182	1000.31	1	0.119912
FBtr0071191	1056	874.312	86.7946	11.9076
FBtr0345988	1286	1104.31	19.2054	2.08608
FBtr0071902	1064	882.312	36.7352	4.99412
FBtr0332909	904	722.312	533.265	88.5557
FBtr0078892	1301	1119.31	4674	500.883
FBtr0073061	323	141.353	0	0
FBtr0081973	1959	1777.31	0	0
FBtr0333190	1343	1161.31	1	0.103288
FBtr0072990	764	582.312	286	58.9127
FBtr0076205	2178	1996.31	21.2879	1.27909
FBtr0076204	2232	2050.31	203.712	11.9178
FBtr0081487	2064	1882.31	387.779	24.7111
FBtr0331678	2435	2253.31	18.2209	0.969942
FBtr0086674	751	569.312	1392	293.283
FBtr0113686	2779	2597.31	35	1.61638
FBtr0113685	2706	2524.31	0	0
FBtr0072069	2783	2601.31	0	0
FBtr0072067	2762	2580.31	1.094e-05	5.08563e-07
FBtr0072070	2827	2645.31	305.618	13.858
FBtr0332926	2655	2473.31	0	0
FBtr0072068	2775	2593.31	15.5288	0.71826
FBtr0072066	2608	2426.31	83.8533	4.14545
FBtr0087059	1547	1365.31	1125	98.8369
FBtr0074966	4094	3912.31	456.682	14.0016
FBtr0333896	4347	4165.31	82.3184	2.37054
FBtr0302288	1725	1543.31	0	0
FBtr0086613	5546	5364.31	75	1.67705
FBtr0091795	4018	3836.31	20	0.625337
FBtr0300891	3895	3713.31	0	0
FBtr0091794	5531	5349.31	0	0
FBtr0091793	5663	5481.31	0	0
FBtr0300892	5540	5358.31	0	0
FBtr0091792	3886	3704.31	0	0
FBtr0301734	675	493.312	128	31.1234
FBtr0342889	1080	898.312	64.9088	8.66712
FBtr0071618	1141	959.312	64.0912	8.01377
FBtr0344856	10063	9881.31	0	0
FBtr0329838	8191	8009.31	0	0
FBtr0329840	7444	7262.31	9.20703e-08	1.5207e-09
FBtr0332236	5661	5479.31	0.00691543	0.000151388
FBtr0329844	5383	5201.31	183.381	4.22902
FBtr0329839	5484	5302.31	0	0
FBtr0329842	8096	7914.31	0	0
FBtr0332237	8123	7941.31	0	0
FBtr0336736	7649	7467.31	139.582	2.24214
FBtr0329846	9896	9714.31	0	0
